filepath,label
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust117.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust2025.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust1891.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust1308.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust760.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/aug_352_Corn_Common_Rust53.jpg,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust179.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust1343.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust1176.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust1066.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust1171.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust268.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust574.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust771.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust1230.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust2102.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust342.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/aug_342_Corn_Common_Rust2074.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/aug_386_Corn_Common_Rust792.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust1642.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/aug_184_Corn_Common_Rust383.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust931.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/Corn_Common_Rust326.JPG,Corn_Common_Rust
/content/split_dataset/train/Corn_Common_Rust/aug_544_Corn_Common_Rust908.JPG,Corn_Common_Rust
